LandsatID,Hylak_id,date,Aerosol,Blue,Red,Green,Nir,Swir1,Swir2,TIR1,TIR2,sat,pCount_dswe1,pCount_dswe3,year,dWL,month,doy,period,lakeid,fui,season
1_1_LT05_024030_20020625,111106,2002-06-25,-99,620.9162036586131,641.442670437751,919.4066818324571,708.9605744733022,135.17143242675724,70.35799580035628,4340.913762048333,-99,l5,64,0,2002,551,Jun,176,"(1999,2002]",WI,9,Summer (jja)
1_1_LT05_024030_20020929,111106,2002-09-29,-99,713.7527752690685,637.2050551924361,881.752496138913,471.9804940183044,113.84906176387537,57.209129346125835,4159.931881986233,-99,l5,64,0,2002,536,Sep,272,"(1999,2002]",WI,8,Fall (so)
1_1_LT05_024030_20021015,111106,2002-10-15,-99,349.73066042845403,375.0111708392494,570.7177714611071,237.90877822340948,55.62250141563372,31.188238219411904,4063.629019705636,-99,l5,64,0,2002,552,Oct,288,"(1999,2002]",WI,9,Fall (so)
1_1_LT05_024030_20021116,111106,2002-11-16,-99,401.31169379525755,358.4088485941349,544.65862435819,134.70556048325673,71.83436267037703,41.366709552196895,3924.8269639580617,-99,l5,64,0,2002,540,Nov,320,"(1999,2002]",WI,8,NA
1_1_LT05_024030_20030409,111106,2003-04-09,-99,607.4298438305761,453.12013892021747,701.4736391444176,230.2374596665298,41.319942632070365,22.902771780146495,3903.1920767479423,-99,l5,64,0,2003,510,Apr,99,"(2002,2005]",WI,7,Spring (am)
1_1_LT05_024030_20030425,111106,2003-04-25,-99,618.8401506820583,672.2054252896596,915.3329641116666,436.91299469020623,290.3084212347402,226.16696455309074,4015.820598325059,-99,l5,64,0,2003,555,Apr,115,"(2002,2005]",WI,9,Spring (am)
1_1_LT05_024030_20030527,111106,2003-05-27,-99,402.3259900680328,379.1650988883756,588.7766891140946,365.10082049825144,85.44250505341654,46.01212020500404,4242.914907066894,-99,l5,64,0,2003,545,May,147,"(2002,2005]",WI,8,Spring (am)
1_1_LT05_024030_20030714,111106,2003-07-14,-99,366.8920651243057,476.12139712896806,742.8711005022768,334.1598429621293,85.44250505341654,78.85956832435274,4279.557287135021,-99,l5,64,0,2003,556,Jul,195,"(2002,2005]",WI,9,Summer (jja)
1_1_LT05_024030_20030815,111106,2003-08-15,-99,772.6201845610163,724.8768592292126,994.9014203612568,942.7581221643128,162.3555001895516,69.41573072780689,4269.365945661015,-99,l5,64,0,2003,544,Aug,227,"(2002,2005]",WI,8,Summer (jja)
1_1_LT05_024030_20030916,111106,2003-09-16,-99,232.4952100361639,247.93152217445092,421.7946336876957,169.02033319665406,39.5392688207858,22.902771780146495,4224.641952780292,-99,l5,64,0,2003,551,Sep,259,"(2002,2005]",WI,9,Fall (so)
